"","belong","name","city","district","lowsalary","highsalary","experience","degree","company","companyintroduction","companyfield","companyfinancial","companymembers","tags"
"2846","suanfagongchengshidata","算法工程师","杭州","长河",15,30,"经验3-5年","本科","杭州有盾网络科技有限公司","“五险一金 免费班车 员工旅游 年终奖金”","移动互联网,数据服务","不需要融资","50-150人","/机器学习/图像处理/人工智能/"
"2847","suanfagongchengshidata","算法工程师","上海","虹口区",20,35,"经验3-5年","本科","拓链","“行业前沿”","移动互联网","不需要融资","50-150人","/建模/"
"2848","suanfagongchengshidata","算法工程师","佛山","顺德区",20,40,"经验3-5年","本科","博智林机器人公司","“大牛云集，15薪”","移动互联网,人工智能","上市公司","500-2000人","/人工智能/"
"2849","suanfagongchengshidata","算法工程师","杭州","萧山区",15,30,"经验3-5年","硕士","国辰机器人","“人工智能、智能机器人研发企业，发展前景好”","其他","A轮","50-150人","/硬件制造/移动互联网/机器学习/深度学习/图像处理/"
"2850","suanfagongchengshidata","算法工程师","深圳","皇岗",13,26,"经验3-5年","本科","旭宏医疗","“地铁口 商务大厦 双休 高薪 福田区”","医疗健康,人工智能","A轮","50-150人","/医疗健康/人工智能/深度学习/数据挖掘/"
"2851","suanfagongchengshidata","算法工程师（视觉方向）","南京","尧化",10,20,"经验1-3年","本科","浦和数据","“五险一金,年终奖金,法定节假,带薪年假”","数据服务","A轮","15-50人","/计算机视觉/图像处理/"
"2852","suanfagongchengshidata","算法工程师（数据化运营方向）","杭州","余杭区",20,40,"经验不限","本科","奇点云","“五险一金,技术大咖,学习氛围强”","移动互联网、O2O","A轮","150-500人","/电商/广告营销/数据挖掘/数据分析/"
"2853","suanfagongchengshidata","算法工程师","北京","海淀区",25,40,"经验不限","硕士","墨奇科技","“大牛工程师,工程师文化团队,自由度高”","移动互联网,企业服务","A轮","15-50人","/机器学习/深度学习/计算机视觉/图像处理/"
"2854","suanfagongchengshidata","算法工程师","成都","高新区",20,30,"经验3-5年","本科","云盯","“全新平台,六险一金,国家节假日,交通餐补”","数据服务,移动互联网","A轮","50-150人","/大数据/图像处理/"
"2855","suanfagongchengshidata","算法工程师（搜索/推荐）","重庆","渝北区",10,15,"经验1-3年","硕士","完美世界（成都）","“平台大、免费健身房、员工食堂”","移动互联网,游戏","上市公司","2000人以上","/""""/"
"2856","suanfagongchengshidata","算法工程师（ 图像和视频处理）","上海","龙华",20,40,"经验3-5年","本科","天壤智能","“AI,人工智能,城市大脑”","移动互联网,企业服务","A轮","50-150人","/深度学习/图像处理/人工智能/"
"2857","suanfagongchengshidata","算法工程师（PPP方向）","广州","南村",18,25,"经验1-3年","硕士","中海达","“上市公司,五天八小时,提供住宿,班车接送”","硬件","上市公司","2000人以上","/节日礼物/技能培训/年度旅游/岗位晋升/"
"2858","suanfagongchengshidata","算法工程师","长沙","咸嘉湖",15,30,"经验不限","硕士","苏州千视通","“人工智能 行业前景好 氛围好”","人工智能,数据服务","A轮","150-500人","/人工智能/计算机视觉/"
"2859","suanfagongchengshidata","算法工程师","杭州","西溪",20,40,"经验3-5年","本科","蜂融网络","“发展迅速,全员持股,国外旅游,不打卡”","移动互联网,金融","A轮","150-500人","/人工智能/"
"2860","suanfagongchengshidata","算法工程师（北京）","北京","中关村",30,60,"经验不限","本科","趣头条","“16薪,带薪年假,五险一金,弹性工作”","移动互联网","上市公司","500-2000人","/广告营销/移动互联网/GO/Python/C++/"
"2861","suanfagongchengshidata","算法工程师","深圳","西丽",20,30,"经验1-3年","本科","小库科技","“包早午餐,双休不打卡,技术大牛多,年底三薪+”","移动互联网","A轮","50-150人","/人工智能/机器学习/图像处理/"
"2862","suanfagongchengshidata","算法工程师(优化与调度)","北京","亮马桥",30,40,"经验5-10年","硕士","北京超盟数据科技有限公司","“六险一金，周末双休，弹性考勤，发展空间大”","数据服务,企业服务","A轮","50-150人","/企业服务/建模/机器学习/人工智能/"
"2863","suanfagongchengshidata","算法工程师（语音识别）","杭州","萧山区",30,60,"经验3-5年","硕士","一知智能","“待遇优厚,行业前景好”","移动互联网,数据服务","A轮","50-150人","/企业服务/深度学习/NLP/"
"2864","suanfagongchengshidata","算法工程师","深圳","南山区",20,40,"经验3-5年","博士","小赢科技","“绩效奖金,弹性工作,五险一金”","金融","上市公司","500-2000人","/五险一金/两餐补助/超低息员工贷/年底奖金/"
"2865","suanfagongchengshidata","算法工程师","武汉","光谷",15,25,"经验1-3年","硕士","锐视智慧","“技术牛,有人带,数据多,天天挑战”","企业服务,移动互联网","不需要融资","15-50人","/计算机视觉/图像处理/模式识别/"
"2866","suanfagongchengshidata","算法工程师（NLP方向）","杭州","余杭区",25,50,"经验3-5年","硕士","奇点云","“不打卡,带薪年假,定期体检,股票期权”","移动互联网、O2O","A轮","150-500人","/人工智能/"
"2867","suanfagongchengshidata","算法工程师（OCR）","上海","龙华",25,40,"经验1-3年","硕士","天壤智能","“AI,人工智能,城市大脑”","移动互联网,企业服务","A轮","50-150人","/图像处理/人工智能/"
