"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"259","大规模机器学习工程师","北京·海淀区","40k-80k","经验3-5年/本科","2019-03-13","最右","移动互联网/C轮/150-500人","“成长空间大,高薪高股,大牛云集,不打卡”","/推荐/搜索/建模/"
"260","高级机器学习算法工程师","杭州·三墩","30k-45k","经验3-5年/硕士","1天前发布","的卢深视","数据服务,移动互联网/未融资/50-150人","“不定期团建,下午茶,餐补,带薪年假”","/深度学习/计算机视觉/"
"261","机器学习工程师","杭州·西溪","8k-12k","经验不限/本科","2019-02-18","东信软件","移动互联网,数据服务/上市公司/150-500人","“人工智能,机器学习”","/建模/数据挖掘/人工智能/深度学习/"
"262","机器学习工程师","北京·望京","20k-40k","经验3-5年/本科","1天前发布","陌陌","社交网络/上市公司/500-2000人","“发展空间大,核心岗位”","/广告营销/Python/算法/"
"263","机器学习技术专家","北京·海淀区","25k-40k","经验3-5年/本科","1天前发布","第四范式","移动互联网/B轮/500-2000人","“年底多薪、弹性工作时间、带薪年假”","/人工智能/"
"264","机器学习开发工程师","南京·雨花台区","20k-30k","经验不限/硕士","1天前发布","趋势科技","信息安全/上市公司/2000人以上","“国际化平台,企业文化好,薪资福利好,老板好”","/深度学习/"
"265","高级机器学习工程师","上海·汶水路","10k-20k","经验3-5年/本科","1天前发布","房多多","移动互联网,O2O/C轮/2000人以上","“平台好，发展快，前景广阔”","/房产服务/数据挖掘/算法/"
"266","机器学习","北京·朝外","17k-30k","经验不限/本科","2019-03-15","福易得","移动互联网/未融资/150-500人","“发展潜力大，环境优美，弹性工作，交通便利”","/人工智能/语音识别/NLP/"
"267","资深机器学习算法工程师","北京·中关村","25k-45k","经验3-5年/本科","2019-03-11","去哪儿网","移动互联网/不需要融资/2000人以上","“核心业务,团队一流,氛围好,福利佳”","/互联网金融/深度学习/建模/数据挖掘/"
"268","机器学习平台开发实习生(DGNet)","北京·海淀区","4k-5k","经验1年以下/本科","1天前发布","格灵深瞳","企业服务,数据服务/C轮/150-500人","“导师制,扁平化管理”","/云计算/大数据/"
"269","【校招】机器学习研究员","北京·五道口","15k-30k","经验应届毕业生/硕士","2天前发布","搜狗","移动互联网,数据服务/上市公司/2000人以上","“大牛领导,氛围轻松”","/岗位晋升/扁平管理/管理规范/精英团队/"
"270","算法工程师-小爱-自然语言处理/机器学习","北京·清河","25k-50k","经验不限/硕士","2019-03-11","小米","移动互联网/D轮及以上/2000人以上","“五险一金、弹性工作、双休、团队氛围好”","/人工智能/NLP/"
"271","高级机器学习算法工程师","合肥·科技大学","20k-35k","经验3-5年/硕士","1天前发布","的卢深视","数据服务,移动互联网/未融资/50-150人","“不定期团建,下午茶,餐补,带薪年假”","/深度学习/计算机视觉/图像处理/"
"272","机器学习算法专家","北京·望京","35k-50k","经验5-10年/本科","2019-02-26","美团点评","移动互联网,O2O/上市公司/2000人以上","“大牛云集,前沿科技,弹性工作,核心部门”","/数据挖掘/"
"273","机器学习工程师","深圳·福田区","20k-40k","经验不限/本科","1天前发布","安信证券","金融/上市公司/2000人以上","“金融”","/金融/数据挖掘/"
"274","机器学习平台研发leader","北京·海淀区","40k-60k","经验5-10年/本科","2019-03-15","金山云","移动互联网,数据服务/D轮及以上/500-2000人","“中国前三,七险一金,包三餐”","/算法/架构师/人工智能/"
"275","百度凤巢_机器学习/数据挖掘/自然语言处理工程师","北京·西北旺","15k-30k","经验1-3年/本科","2019-03-14","百度","移动互联网,数据服务/不需要融资/2000人以上","“优良的职业前景，快成长，大空间”","/NLP/算法/"
"276","机器学习/计算机视觉算法 实习生","北京·望京","2k-4k","经验应届毕业生/本科","1天前发布","泽泰征信","企业服务,数据服务/A轮/15-50人","“技术大牛”","/深度学习/"
"277","机器学习算法资深工程师","上海·长宁区","30k-60k","经验5-10年/本科","2019-03-07","虎博科技","移动互联网,金融/A轮/50-150人","“硅谷大牛,股权激励,绩效奖金,极客氛围”","/金融/深度学习/搜索/NLP/"
"278","机器学习","北京·五道口","33K-61K","经验5-10年/本科","2019-03-06","DataHunter","数据服务,企业服务/A轮/50-150人","“五道口,数据可视化,技术大牛,人工智能”","/大数据/算法/数据挖掘/"
