"","name","location","salary","require","time","company","companysituation","companyintro","tags"
"182","自然语言处理算法工程师","北京·上地","15k-30k","经验1-3年/硕士","12:00发布","深思考人工智能机器人","移动互联网,企业服务/A轮/50-150人","“弹性工时、核心岗位、AI”","/其他/机器学习/深度学习/NLP/"
"183","自然语言处理工程师","北京·海淀区","23k-46k","经验1-3年/本科","1天前发布","字节跳动","移动互联网,数据服务/C轮/2000人以上","“六险一金，免费三餐，租房补贴”","/NLP/"
"184","自然语言处理","北京·来广营","20k-40k","经验1-3年/本科","1天前发布","数美","企业服务,数据服务/B轮/150-500人","“BAT团队,互联网氛围,七险一金”","/大数据/NLP/数据挖掘/"
"185","自然语言处理nlp","上海·浦江","30k-40k","经验1-3年/硕士","1天前发布","泛微","移动互联网,企业服务/上市公司/2000人以上","“免费三餐,团队旅游,年度体检,绩效奖金”","/大数据/机器学习/"
"186","自然语言处理","北京·望京","25k-50k","经验3-5年/硕士","21:10发布","临智而安","移动互联网/天使轮/15-50人","“AI+教育，团队扁平管理 目标导向。”","/机器学习/深度学习/NLP/"
"187","NLP自然语言处理专家/资深工程师","北京·学院路","25k-50k","经验1-3年/本科","2019-02-21","阿博茨科技","移动互联网/B轮/150-500人","“弹性工作,六险一金,大牛云集,晋升空间大”","/算法/"
"188","NLP算法工程师","北京·中关村","18k-35k","经验不限/硕士","21:17发布","中科智加","移动互联网,数据服务/不需要融资/50-150人","“五险一金 带薪年假 高额年终奖”","/人工智能/深度学习/语音识别/"
"189","NLP算法工程师","北京·大望路","20k-40k","经验3-5年/本科","09:31发布","美柚","移动互联网/D轮及以上/500-2000人","“团队氛围好”","/绩效奖金/股票期权/年底双薪/专项奖金/"
"190","自然语言处理算法工程师","广州·珠江新城","12k-18k","经验1-3年/硕士","1天前发布","经传多赢","移动互联网,金融/不需要融资/2000人以上","“扁平化管理 发展空间大 晋升清晰”","/金融/移动互联网/机器学习/人工智能/NLP/"
"191","NLP算法工程师","北京·北京大学","25k-50k","经验1-3年/硕士","20:56发布","太古代科技","区块链,人工智能/B轮/50-150人","“福利待遇优厚！”","/带薪年假/年底双薪/股票期权/年终分红/"
"192","nlp算法工程师","上海·普陀区","20k-40k","经验1-3年/本科","14:33发布","叽里呱啦","移动互联网,教育/B轮/150-500人","“免费午餐,晋升空间,年终13薪,出国旅游”","/语音识别/深度学习/"
"193","NLP算法工程师","上海·张江","15k-30k","经验1-3年/本科","10:04发布","达观数据","人工智能/B轮/150-500人","“专注NLP、技术大牛多、氛围佳、弹性工作”","/工具软件/大数据/Python/软件开发/"
"194","NLP算法工程师","北京·海淀区","18k-30k","经验1-3年/本科","19:45发布","偶数科技","数据服务/A轮/50-150人","“年底双薪,带薪休假，扁平管理，节日礼物”","/深度学习/人工智能/"
"195","NLP算法工程师","北京·酒仙桥","30k-40k","经验1-3年/硕士","19:15发布","轮子科技","移动互联网,生活服务/A轮/15-50人","“深度学习，世界级大牛，飞速发展，产品成型”","/本地生活/大数据/深度学习/机器学习/"
"196","NLP自然语言处理算法工程师","南京·安德门","18k-36k","经验3-5年/本科","09:44发布","阿博茨科技","移动互联网/B轮/150-500人","“人工智能，金融，技术驱动，产品公司”","/人工智能/机器学习/搜索/"
"197","NLP自然语言处理算法工程师","北京·西三旗","20k-40k","经验3-5年/本科","16:50发布","金山办公软件","移动互联网/上市公司/2000人以上","“技术氛围好 团队优秀 薪资待遇优”","/大数据/移动互联网/搜索/推荐/"
"198","NLP算法工程师","北京·红庙","20k-40k","经验不限/本科","16:13发布","钛氪新媒体科技","移动互联网/A轮/50-150人","“新媒体,大数据,SaaS，AI，数据分析”","/大数据/云计算/"
"199","NLP算法工程师","北京·四惠","35k-50k","经验3-5年/硕士","14:28发布","掌阅","移动互联网/上市公司/500-2000人","“绩效奖金，年底双薪，领导好，发展空间大”","/机器学习/深度学习/推荐/"
"200","NLP算法工程师","北京·亮马桥","25k-45k","经验3-5年/本科","11:57发布","北京超盟数据科技有限公司","数据服务,企业服务/A轮/50-150人","“六险一金，周末双休，弹性考勤，发展空间大”","/企业服务/图像处理/"
"201","NLP算法工程师","上海·静安寺","17k-27k","经验1-3年/硕士","10:27发布","Gridsum 国双","数据服务,企业服务/上市公司/500-2000人","“上市大数据,年终奖金，技术牛人多”","/云计算/大数据/机器学习/"
